Cấp 1	Cấp 2	Cấp 3	Cấp 4	Cấp 5	Tên gọi nghề nghiệp
1					Lãnh đạo, quản lý trong các ngành, các cấp và các đơn vị
	10				Lãnh đạo cơ quan Đảng Cộng sản Việt Nam cấp trung ương và địa phương (chuyên trách)
		101			Lãnh đạo cơ quan Đảng Cộng sản Việt Nam cấp trung ương (chuyên trách)
			1011	10110	Tổng Bí thư, Thường trực Ban Bí thư, Ban Bí thư, Ủy viên Bộ Chính trị, Ủy viên Ban Chấp hành Trung ương Đảng
			1012	10120	Bí thư, Phó Bí thư Đảng ủy cơ quan trung ương
			1013	10130	Bí thư, Phó Bí thư Đảng ủy khối trực thuộc trung ương
			1014	10140	Trưởng ban, Phó Trưởng ban Đảng và tương đương thuộc cấp trung ương
			1015	10150	Trợ lý Ủy viên Bộ Chính trị
			1016	10160	Vụ trưởng, Phó Vụ trưởng và tương đương
		102			Lãnh đạo cơ quan Đảng Cộng sản Việt Nam cấp tỉnh (chuyên trách)
			1021	10210	Bí thư Tỉnh ủy, Phó Bí thư Tỉnh ủy, Ủy viên Ban Chấp hành Đảng bộ cấp tỉnh
			1022	10220	Bí thư, Phó Bí thư Đảng ủy sở, ban, ngành cấp tỉnh
			1023	10230	Bí thư, Phó Bí thư Đảng ủy khối cơ quan cấp tỉnh
			1024	10240	Trưởng ban, Phó Trưởng ban Đảng và tương đương thuộc cấp tỉnh
		103			Lãnh đạo Đảng Cộng sản Việt Nam cấp huyện (chuyên trách)
			1031	10310	Bí thư Huyện ủy, Phó Bí thư Huyện ủy, Ủy viên Ban Chấp hành Đảng bộ cấp huyện
			1032	10320	Bí thư, Phó Bí thư Đảng ủy ban, ngành cấp huyện
			1033	10330	Trưởng ban, Phó Trưởng ban Đảng và tương đương thuộc cấp huyện
		104			Lãnh đạo Đảng Cộng sản Việt Nam cấp xã (chuyên trách)
			1040	10400	Bí thư, Phó Bí thư Đảng ủy cấp xã
		105			Lãnh đạo Đảng Cộng sản Việt Nam tại doanh nghiệp và các tổ chức sự nghiệp (chuyên trách)
			1050	10500	Bí thư, Phó Bí thư Đảng ủy
	11				Lãnh đạo, quản lý của Quốc hội, Văn phòng Quốc hội và Văn phòng Chủ tịch nước (chuyên trách)
		111			Lãnh đạo, quản lý của Quốc hội, Văn phòng Quốc hội (chuyên trách)
			1111	11110	Chủ tịch Quốc hội, Phó Chủ tịch Quốc hội, Ủy viên thường vụ Quốc hội
			1112	11120	Chủ nhiệm, Phó Chủ nhiệm Ủy ban và tương đương làm việc tại Văn phòng Quốc hội
			1113	11130	Vụ trưởng, Phó Vụ trưởng và tương đương
		112			Lãnh đạo, quản lý của Nhà nước, Văn phòng Chủ tịch nước (chuyên trách)
			1121	11210	Chủ tịch nước, Phó Chủ tịch nước
			1122	11220	Chủ nhiệm, Phó Chủ nhiệm tương đương Bộ trưởng, Thứ trưởng và tương đương làm việc tại Văn phòng Chủ tịch nước
			1123	11230	Vụ trưởng, Phó Vụ trưởng và tương đương
	12				Lãnh đạo, quản lý của Chính phủ, Văn phòng Chính phủ, các bộ, ngành và tương đương thuộc Chính phủ (chuyên trách)
		121			Lãnh đạo, quản lý của Chính phủ, Văn phòng Chính phủ (chuyên trách)
			1211	12110	Thủ tướng, Phó Thủ tướng Chính phủ
			1212	12120	Chủ nhiệm, Phó Chủ nhiệm và tương đương làm việc tại Văn phòng Chính phủ
			1213	12130	Vụ trưởng, Phó Vụ trưởng và tương đương
		122			Lãnh đạo, quản lý bộ, ngành và tương đương thuộc Chính phủ (chuyên trách)
			1221	12210	Bộ trưởng, Thứ trưởng và tương đương của các bộ, ngành, các cơ quan ngang bộ, các cơ quan thuộc Chính phủ
			1222	12220	Trợ lý Bộ trưởng Bộ Ngoại giao
			1223	12230	Vụ trưởng, Phó Vụ trưởng, Trưởng ban, Phó Trưởng ban và tương đương
		123			Lãnh đạo, quản lý tổng cục thuộc bộ (chuyên trách)
			1231	12310	Tổng cục trưởng, Phó Tổng cục trưởng và tương đương
			1232	12320	Vụ trưởng, Phó Vụ trưởng, Trưởng ban, Phó Trưởng ban và tương đương
	13				Lãnh đạo, quản lý của Tòa án nhân dân và Viện Kiểm sát nhân dân (chuyên trách)
		131			Lãnh đạo, quản lý của Tòa án nhân dân tối cao và cấp cao và Viện Kiểm sát nhân dân tối cao và cấp cao (chuyên trách)
			1311	13110	Chánh án, Phó Chánh án Tòa án nhân dân tối cao và cấp cao; Viện trưởng, Phó Viện trưởng Viện Kiểm sát nhân dân tối cao và cấp cao
			1312	13120	Vụ trưởng, Phó Vụ trưởng và tương đương làm việc ở Tòa án nhân dân tối cao và cấp cao và Viện Kiểm sát nhân dân tối cao và cấp cao
		132			Lãnh đạo, quản lý của Tòa án nhân dân và Viện Kiểm sát nhân dân ở địa phương (chuyên trách)
			1321	13210	Chánh án, Phó Chánh án Tòa án nhân dân; Viện trưởng, Phó Viện trưởng Viện Kiểm sát nhân dân cấp tỉnh
			1322	13220	Chánh án, Phó Chánh án Tòa án nhân dân cấp huyện
		133			Lãnh đạo, quản lý của Tòa án khác (trừ Tòa án Quân sự) do luật định (chuyên trách)
